address,city_name,cleanliness,comment_count,distance_tip,district_name,fangdong_house_count,fangdong_id,fangdong_nick_name,fangdong_tags,fangdong_tel,fangwu_src,favorite_count,house_decoration,house_id,house_in,house_jishi,house_mianji,house_out,house_ren_count,house_type,latitude,longitude,name,overall,price,services,source,traffic,unit_infor
济南恒大悦庭-北门,济南,5.0,12,近高新区/奥体中心,历城区,,6604445,济南途掌柜124130精品民宿,自营民宿,185DeqT8925,https://www.tujia.com/detail/18241399.htm,35,5.0,18241399,14:00后入住,3室3厅 2卫1厨,129㎡,12:00前退房,宜住6人,整套普通公寓,36.721278,117.148867,【班禾】济南东站/鲍山公园/悦庭三居室,5.0,375,5.0,tujia,5.0,距高新区/奥体中心直线3.6公里
启盛街/顺河高架路(路口)(启盛街26号),济南,4.9,19,近大明湖/泉城广场/趵突泉,天桥区,,5525129,林姐.,"个人房东,超赞房东,实名验证",186BdpT8586,https://www.tujia.com/detail/14785737.htm,231,4.9,14785737,14:00后入住,1室1厅 1卫1厨,40㎡,12:00前退房,宜住2人,整套普通公寓,36.68199864955673,117.0220521547409,一楼独门独户 不交叉感染/大明湖旁大一居,4.9,176,5.0,tujia,4.8,距大明湖/泉城广场/趵突泉直线1.7公里
东双龙街趵突泉小区一区,济南,4.6,59,近大明湖/泉城广场/趵突泉,市中区,,1872803,路客精品民宿BE5560,商户经营,400DxKc270,https://www.tujia.com/detail/512815.htm,578,4.6,512815,15:00后入住,1室1厅 1卫1厨,60㎡,12:00前退房,宜住4人,整套普通公寓,36.66444341940101,117.02446926673467,【路客】限时长租丨趵突泉,4.7,662,4.7,tujia,4.7,距大明湖/泉城广场/趵突泉直线496米
小清河北路,济南,5.0,4,近北园,天桥区,,3262297,家芬菲（点击头像预览更多房源）,"个人房东,超赞房东,实名验证",187DSed6768,https://www.tujia.com/detail/18230640.htm,54,5.0,18230640,14:00后入住,1室1厅 1卫1厨,70㎡,12:00前退房,宜住3人（可加1人）,整套Loft复式,36.71253683476672,117.03504204743622,💯安心住【家芬菲】趵突泉可做饭loft,5.0,186,5.0,tujia,5.0,距北园直线1.4公里
K88南益·名泉广场(大明湖附近),济南,4.7,174,近火车站,天桥区,,4649037,子曰明湖民宿（点击头像预览更多房源）,"个人房东,实名验证",132BkSl8838,https://www.tujia.com/detail/13212536.htm,1698,4.7,13212536,14:00后入住,1室0厅 1卫1厨,52㎡,12:00前退房,宜住2人,整套酒店式公寓,36.68210071313009,116.98992937716112,🏅💯【已消毒】大明湖趵突泉精品大床房,4.7,168,4.8,tujia,4.7,距火车站直线434米
章丘唐人中心-G区,济南,5.0,3,,章丘区,,5231031,花野·间,"个人房东,实名验证",186DUHR5130,https://www.tujia.com/detail/20045768.htm,118,5.0,20045768,14:00后入住,2室3厅 2卫1厨,150㎡,12:00前退房,宜住4人,整套Loft复式,36.71461088104255,117.5383414497642,市中心｜复式双层  LOFT,5.0,458,5.0,tujia,5.0,
康桥颐东,济南,4.9,145,近高新区/奥体中心,历下区,,3826887,济南途掌柜102327精品民宿,自营民宿,185DeqT8925,https://www.tujia.com/detail/9357146.htm,171,4.9,9357146,14:00后入住,1室0厅 1卫1厨,54㎡,12:00前退房,宜住2人,整套普通公寓,36.676277,117.124657,【班禾】奥体/会展/万达北欧主题标准间,5.0,225,5.0,tujia,5.0,距高新区/奥体中心直线1.9公里
领秀城贵和金街五号公寓楼,济南,5.0,5,近英雄山/千佛山/舜耕会展中心,市中区,,6720183,济南香舍,"个人房东,超赞房东,实名验证",130EsEI2872,https://www.tujia.com/detail/18939677.htm,23,5.0,18939677,12:00后入住,1室0厅 1卫0厨,60㎡,12:00前退房,宜住2人（可加1人）,整套酒店式公寓,36.599642,117.011594,【香舍4】轻奢投影大床公寓 近泉城广场,5.0,258,5.0,tujia,5.0,距英雄山/千佛山/舜耕会展中心直线5公里
泉城路世茂国际广场,济南,4.9,4004,近大明湖/泉城广场/趵突泉,历下区,,4110,济南斯维登服务公寓（大明湖世茂广场）,斯维登,0531EWGA8333,https://www.tujia.com/detail/18912.htm,3525,4.9,18912,14:00后入住,1室0厅 1卫1厨,60㎡,12:00前退房,宜住2人,整套酒店式公寓,36.670628,117.036817,【安心房】济南斯维登世茂国际广场高级大床房,4.9,334,4.9,tujia,4.9,距大明湖/泉城广场/趵突泉直线825米
振兴街街道和谐佳苑,济南,4.9,19,近大观园/和谐广场商圈,槐荫区,,5700556,路客精品民宿BJ1610,商户经营,400DxKc270,https://www.tujia.com/detail/15087983.htm,114,4.9,15087983,15:00后入住,2室1厅 1卫1厨,75㎡,12:00前退房,宜住4人,整套普通公寓,36.659244137262746,116.98562099967884,【路客】初夏特惠丨和谐广场旁丨楼兰莺歌,4.9,1282,4.9,tujia,4.8,距大观园/和谐广场商圈直线556米
恒大翡翠华庭-2期,济南,5.0,14,近西客站,槐荫区,,6379507,济南途掌柜123628精品民宿,自营民宿,155BBws1080,https://www.tujia.com/detail/17468536.htm,32,5.0,17468536,14:00后入住,4室2厅 2卫1厨,200㎡,12:00前退房,宜住7人,整套普通公寓,36.679027,116.933402,【班禾】山东会展/森林公园/翡翠豪华四居,5.0,999,5.0,tujia,5.0,距西客站直线3公里
坝王路7号天鸿万卷府,济南,5.0,18,,历城区,,5933803,路客精品民宿BJ2900,商户经营,400DxKc270,https://www.tujia.com/detail/15808276.htm,83,5.0,15808276,15:00后入住,3室1厅 1卫1厨,92㎡,12:00前退房,宜住6人,整套普通公寓,36.73796845402668,117.15799169556738,【路客】初夏特惠【设计师】新东站,5.0,1043,5.0,tujia,5.0,
恒大滨河左岸(左岸公寓),济南,5.0,62,近北园,天桥区,,3262297,家芬菲（点击头像预览更多房源）,"个人房东,超赞房东,实名验证",187DSed6768,https://www.tujia.com/detail/7753635.htm,956,5.0,7753635,14:00后入住,1室1厅 1卫1厨,66㎡,12:00前退房,宜住2人（可加1人）,整套Loft复式,36.7125149169342,117.03860499999992,💯安心住【家芬菲】大明湖可做饭loft,5.0,186,5.0,tujia,4.9,距北园直线1.1公里
康桥·颐东,济南,5.0,124,,高新区,,3849959,济南途掌柜102326精品民宿,自营民宿,185DeqT8925,https://www.tujia.com/detail/9400721.htm,137,5.0,9400721,14:00后入住,1室0厅 1卫1厨,54㎡,12:00前退房,宜住2人,整套酒店式公寓,36.675981,117.124822,【班禾】奥体/高新会展/北欧主题一居室,5.0,200,5.0,tujia,5.0,
民营经科园路(恒大滨河左岸公寓4号公寓楼),济南,4.6,146,近北园,天桥区,,3786595,海星精品loft公寓,商户经营,155BuWZ7971,https://www.tujia.com/detail/9238167.htm,7255,4.6,9238167,13:00-次日3:00,1室1厅 1卫0厨,60㎡,12:00前退房,宜住2人,整套Loft复式,36.71243979886187,117.03482674421817,大明湖/泉城广场/上下两层/欧式装修,4.6,138,4.7,tujia,4.5,距北园直线1.4公里
汇展香格里拉(会展香格里拉),济南,5.0,10,近高新区/奥体中心,历下区,,5661622,雅铂轻奢公寓,"商户经营,超赞房东",130CIbt7396,https://www.tujia.com/detail/15142926.htm,108,5.0,15142926,14:00后入住,1室0厅 1卫0厨,60㎡,12:00前退房,宜住2人,整套酒店式公寓,36.69368040763677,117.12954649247641,高新万达会展中心新中式摩卡大床房 奥体,5.0,335,5.0,tujia,4.9,距高新区/奥体中心直线164米
济南市阳光花园26号楼2单元,济南,4.9,66,近大观园/和谐广场商圈,槐荫区,,4404989,济南途掌柜110953精品民宿,自营民宿,185DeqT8925,https://www.tujia.com/detail/11052679.htm,210,5.0,11052679,14:00后入住,3室2厅 2卫1厨,158㎡,12:00前退房,宜住6人,整套普通公寓,36.65738,116.976905,【班禾】泰山大厦/儿童医院/舒适大三居,5.0,439,5.0,tujia,5.0,距大观园/和谐广场商圈直线1.3公里
绿城兰悦(文化东路与燕子山路交叉口),济南,5.0,3,近山师/山大/洪楼,历下区,,4714291,风花雪月之精品民宿,"个人房东,超赞房东,实名验证",155AkCL5952,https://www.tujia.com/detail/16887634.htm,92,5.0,16887634,14:00后入住,1室0厅 1卫1厨,55㎡,12:00前退房,宜住2人,整套酒店式公寓,36.659997,117.070951,【风花雪月】7济南简欧式单卧套大床房,5.0,249,5.0,tujia,5.0,距山师/山大/洪楼直线2.3公里
华福维嘉公寓,济南,5.0,3,近北园,历城区,,6025363,奈斯·福,"个人房东,超赞房东,实名验证",176EhtA3507,https://www.tujia.com/detail/17147054.htm,69,5.0,17147054,14:00-24:00,1室0厅 1卫0厨,50㎡,12:00前退房,宜住2人,整套普通公寓,36.704092,117.062652,邻荣盛北园大街|简约舒适大床泡泡房|华福,4.8,208,5.0,tujia,4.3,距北园直线1.8公里
龙湖·水晶郦城-东区,济南,5.0,49,近西客站,槐荫区,,2900109,德舍,"个人房东,超赞房东,实名验证",155DneB5380,https://www.tujia.com/detail/13651604.htm,220,5.0,13651604,14:00后入住,3室2厅 1卫1厨,115㎡,12:00前退房,宜住6人（可加1人）,整套普通公寓,36.68955131585792,116.92208881506966,【登高望远】近西客站/长租优惠/免费车位,5.0,296,5.0,tujia,5.0,距西客站直线2.6公里
国贸公寓(北园大街),济南,5.0,5,近泺口服装城/动物园,天桥区,,6976642,济南爱家服务公寓,商户经营,187CozT5275,https://www.tujia.com/detail/19796414.htm,42,5.0,19796414,14:00后入住,1室0厅 1卫1厨,55㎡,12:00前退房,宜住2人,整套普通公寓,36.692236,117.020857,火车站舒适观景地暖开放公寓,5.0,268,4.8,tujia,5.0,距泺口服装城/动物园直线2.8公里
花园路290号华夏福地,济南,4.6,25,近大明湖/泉城广场/趵突泉,历下区,,5444657,路客精品民宿BJ0460,商户经营,400DxKc270,https://www.tujia.com/detail/14367963.htm,296,4.7,14367963,15:00后入住,3室1厅 1卫1厨,101㎡,12:00前退房,宜住6人,整套普通公寓,36.68481882468154,117.03940472850135,【路客】初夏特惠『半岛铁盒』印象城,4.7,1344,4.6,tujia,4.7,距大明湖/泉城广场/趵突泉直线2.1公里
欧亚大观(阳光100美爵酒店南面欧亚大观商都),济南,5.0,2,近大观园/和谐广场商圈,市中区,,2850941,风花雪月的漫画师之家,"个人房东,超赞房东,实名验证",132DUHw6633,https://www.tujia.com/detail/11833354.htm,22,5.0,11833354,14:00后入住,1室1厅 1卫1厨,90㎡,12:00前退房,宜住2人（可加2人）,整套Loft复式,36.639379,116.988715,济南LOFT上下层北欧简约风大格局,5.0,368,5.0,tujia,5.0,距大观园/和谐广场商圈直线2.6公里
 梦世界LOMO公馆(经十路28988号),济南,4.9,38,近西客站,槐荫区,,1506372,0温馨之家0,"个人房东,超赞房东,实名验证",186CGPJ1803,https://www.tujia.com/detail/3047996.htm,237,4.9,3047996,15:00后入住,1室1厅 2卫1厨,82㎡,11:00前退房,宜住2人,整套Loft复式,36.65658279215682,116.915749,济南西站LOFT双层温馨公寓,4.9,298,4.9,tujia,4.9,距西客站直线2.3公里
经十路齐鲁宾馆,济南,4.8,93,近英雄山/千佛山/舜耕会展中心,历下区,,226883,路客精品民宿BE5650,商户经营,400DxKc270,https://www.tujia.com/detail/536670.htm,467,4.8,536670,15:00后入住,2室1厅 1卫1厨,87㎡,12:00前退房,宜住5人,整套普通公寓,36.65394828856751,117.04189962568971,【路客】千佛山&温馨简约风三居室,4.8,916,4.8,tujia,4.8,距英雄山/千佛山/舜耕会展中心直线1.7公里
兴港路,济南,5.0,157,近高新区/奥体中心,历下区,,2509747,赛车手刘阳的家(点击头像浏览我更多房子),"个人房东,超赞房东,实名验证",187AjRo9531,https://www.tujia.com/detail/8414547.htm,2771,5.0,8414547,15:00后入住,2室1厅 1卫1厨,120㎡,12:00前退房,宜住4人,整套普通公寓,36.6801976359232,117.17178371307938,【安心住】套房高品质两居万科会展中心奥体,5.0,408,5.0,tujia,4.9,距高新区/奥体中心直线3.9公里
聚隆广场,济南,5.0,31,近山师/山大/洪楼,历城区,,4432352,一壹短租,"个人房东,超赞房东,实名验证",150BVah2500,https://www.tujia.com/detail/12604810.htm,137,5.0,12604810,14:00后入住,1室0厅 1卫1厨,40㎡,12:00前退房,宜住2人,整套普通公寓,36.68711408667612,117.06842268516596,【已消毒】洪家楼 印象城 精致舒适一居室,5.0,158,5.0,tujia,5.0,距山师/山大/洪楼直线812米
东关街道 明湖东路10-11(明湖东路10号),济南,4.8,6,近山师/山大/洪楼,历下区,,5427353,奔驰的面包,"商户经营,超赞房东",130AAKZ9200,https://www.tujia.com/detail/17556176.htm,181,5.0,17556176,14:00后入住,1室1厅 1卫1厨,53㎡,12:00前退房,宜住2人,整套普通公寓,36.68438088313663,117.045437753014,{路朋}小清新一室 大明湖、趵突泉、宽厚,4.9,307,4.8,tujia,4.8,距山师/山大/洪楼直线1.9公里
济南左岸精品公寓,济南,5.0,1,近北园,天桥区,,4800223,左岸Loft易居,商户经营,139CzoV1835,https://www.tujia.com/detail/12347917.htm,103,5.0,12347917,14:00后入住,1室1厅 1卫1厨,55㎡,12:00前退房,宜住2人,整套Loft复式,36.712572,117.035277,【左岸】大明湖豪华Loft私居*抖音上榜,5.0,178,5.0,tujia,5.0,距北园直线1.3公里
明湖西路和信花园,济南,4.9,50,近火车站,天桥区,,184235,路客精品民宿BB7810,商户经营,400DxKc270,https://www.tujia.com/detail/470326.htm,195,4.9,470326,15:00后入住,1室0厅 1卫1厨,56㎡,12:00前退房,宜住2人,整套普通公寓,36.6772751830734,117.00869946120693,【路客】初夏夜8折丨毕加索之屋丨大明湖,4.9,583,5.0,tujia,4.9,距火车站直线1.5公里
广厦聚隆广场,济南,4.9,63,近山师/山大/洪楼,历城区,,3666720,聚隆公寓,"个人房东,超赞房东,实名验证",156Exrz3801,https://www.tujia.com/detail/8939946.htm,1367,4.9,8939946,14:00后入住,1室0厅 1卫0厨,46㎡,12:00前退房,宜住2人,整套普通公寓,36.68863891530508,117.06984999999992,洪家楼【印象城】暖气公寓直达趵突泉大明湖,4.9,157,4.9,tujia,4.9,距山师/山大/洪楼直线1公里
辛祝路保利海德公馆,济南,4.8,64,近山师/山大/洪楼,历城区,,1250739,路客精品民宿BF5490,商户经营,400DxKc270,https://www.tujia.com/detail/1955674.htm,709,4.8,1955674,15:00后入住,2室1厅 1卫1厨,85㎡,12:00前退房,宜住4人,整套普通公寓,36.70061139671598,117.08614749690103,初夏特惠丨直达趵突泉丨近洪楼教堂简约两,4.8,358,4.9,tujia,4.9,距山师/山大/洪楼直线2.9公里
